[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1374: ---------------------Start call Mv3dLp.dll start--------------------
[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1378: Build Time[240824_13:34:21], SDK version[1.3.0].
[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1380: Mv3dLp.dll path [C:\Program Files (x86)\Common Files\Mv3dLpSDK\Runtime\Win64_x64\Mv3dLp.dll]
[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1381: Current ExE path [D:\programs\VSCode\Qt\chuanYi\flangeMeasureTest\build\Debug\Debug\flangeMeasureTest.exe]
[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1386: Config (C:\Program Files (x86)\Common Files\Mv3dLpSDK\Runtime\Win64_x64\Mv3dLpCfg.ini) exist .
[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1393: DebugMode[0], nLogSize[100].
[2025-03-28 18:44:33:0986] | Info     | Manager.cpp              -L1002: [Init] Begin.
[2025-03-28 18:44:33:0988] | Info     | Manager.cpp              -L1040: [Init] end success.
[2025-03-28 18:44:33:0988] | Info     | Manager.cpp              -L0955: [CreateHandle] begin.
[2025-03-28 18:44:33:0988] | Info     | CameraModule.cpp         -L0431: [CreateHandle] Get Gige Sdk version:(0x4030202).
[2025-03-28 18:44:34:0204] | Info     | CameraModule.cpp         -L0312: [Enum] enum by gige sdk, get camera num:[1].
[2025-03-28 18:44:34:0204] | Info     | CameraModule.cpp         -L0474: [CreateHandleBySomeWay] nCurrentIp[-1442937566].
[2025-03-28 18:44:34:0204] | Error    | CameraModule.cpp         -L0481: [CreateHandleBySomeWay] camera module nDeviceNum:1.
[2025-03-28 18:44:34:0205] | Info     | CameraModule.cpp         -L0524: [CreateHandle] camera module MV_CC_CreateHandle, macH:(0x34bd), macL:(0x205cb4de), CurrentIP:(0xa9fe8522), NetExport:(0xa9fe8516), SN:(00DA5741202).
[2025-03-28 18:44:34:0205] | Info     | Manager.cpp              -L0995: [CreateHandle] end success.
[2025-03-28 18:44:34:0205] | Info     | Manager.cpp              -L0848: [ConnectDevice] begin.
[2025-03-28 18:44:34:0603] | Info     | Manager.cpp              -L0887: [ConnectDevice] Get m_nInvalidHeight value[0].
[2025-03-28 18:44:34:0603] | Info     | Manager.cpp              -L0892: [ConnectDevice] Get m_nNodeCount value[3].
[2025-03-28 18:44:34:0603] | Info     | Manager.cpp              -L0907: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dLpSDK\Runtime\Win64_x64\Mv3dLpCfg.ini\BufferNode, value[10].
[2025-03-28 18:44:34:0611] | Info     | Manager.cpp              -L0915: [ConnectDevice] SetImageNodeNum value[10].
[2025-03-28 18:44:34:0611] | Info     | Manager.cpp              -L0935: [ConnectDevice] chProcessOrder value[].
[2025-03-28 18:44:34:0611] | Info     | Manager.cpp              -L0944: [ConnectDevice] success connect the camera(00DA5741202) Model(MV-DP3900-03P) version(V1.6.1 241224 1454180) ip(0xa9fe8522).
[2025-03-28 18:44:34:0611] | Info     | Manager.cpp              -L0948: [ConnectDevice] end success.
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1374: ---------------------Start call Mv3dLp.dll start--------------------
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1378: Build Time[240824_13:34:21], SDK version[1.3.0].
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1380: Mv3dLp.dll path [C:\Program Files (x86)\Common Files\Mv3dLpSDK\Runtime\Win64_x64\Mv3dLp.dll]
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1381: Current ExE path [D:\programs\VSCode\Qt\chuanYi\flangeMeasureTest\build\Debug\Debug\flangeMeasureTest.exe]
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1386: Config (C:\Program Files (x86)\Common Files\Mv3dLpSDK\Runtime\Win64_x64\Mv3dLpCfg.ini) exist .
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1393: DebugMode[0], nLogSize[100].
[2025-03-28 18:46:16:0683] | Info     | Manager.cpp              -L1002: [Init] Begin.
[2025-03-28 18:46:16:0688] | Info     | Manager.cpp              -L1040: [Init] end success.
[2025-03-28 18:46:16:0688] | Info     | Manager.cpp              -L0955: [CreateHandle] begin.
[2025-03-28 18:46:16:0688] | Info     | CameraModule.cpp         -L0431: [CreateHandle] Get Gige Sdk version:(0x4030202).
[2025-03-28 18:46:16:0900] | Info     | CameraModule.cpp         -L0312: [Enum] enum by gige sdk, get camera num:[1].
[2025-03-28 18:46:16:0900] | Info     | CameraModule.cpp         -L0474: [CreateHandleBySomeWay] nCurrentIp[-1442937566].
[2025-03-28 18:46:16:0900] | Error    | CameraModule.cpp         -L0481: [CreateHandleBySomeWay] camera module nDeviceNum:1.
[2025-03-28 18:46:16:0900] | Info     | CameraModule.cpp         -L0524: [CreateHandle] camera module MV_CC_CreateHandle, macH:(0x34bd), macL:(0x205cb4de), CurrentIP:(0xa9fe8522), NetExport:(0xa9fe8516), SN:(00DA5741202).
[2025-03-28 18:46:16:0900] | Info     | Manager.cpp              -L0995: [CreateHandle] end success.
[2025-03-28 18:46:16:0900] | Info     | Manager.cpp              -L0848: [ConnectDevice] begin.
[2025-03-28 18:46:17:0647] | Info     | Manager.cpp              -L0887: [ConnectDevice] Get m_nInvalidHeight value[0].
[2025-03-28 18:46:17:0647] | Info     | Manager.cpp              -L0892: [ConnectDevice] Get m_nNodeCount value[3].
[2025-03-28 18:46:17:0647] | Info     | Manager.cpp              -L0907: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dLpSDK\Runtime\Win64_x64\Mv3dLpCfg.ini\BufferNode, value[10].
[2025-03-28 18:46:17:0649] | Info     | Manager.cpp              -L0915: [ConnectDevice] SetImageNodeNum value[10].
[2025-03-28 18:46:17:0649] | Info     | Manager.cpp              -L0935: [ConnectDevice] chProcessOrder value[].
[2025-03-28 18:46:17:0649] | Info     | Manager.cpp              -L0944: [ConnectDevice] success connect the camera(00DA5741202) Model(MV-DP3900-03P) version(V1.6.1 241224 1454180) ip(0xa9fe8522).
[2025-03-28 18:46:17:0649] | Info     | Manager.cpp              -L0948: [ConnectDevice] end success.
[2025-03-28 18:46:48:0610] | Info     | Manager.cpp              -L1127: [Start] begin.
[2025-03-28 18:46:48:0611] | Info     | Manager.cpp              -L8534: [IsNewDl] Get Device3DCamerainfo Value:[16843008], nRet:[0].
[2025-03-28 18:46:48:0611] | Info     | Manager.cpp              -L8538: [IsNewDl] this camera is not new LSL.
[2025-03-28 18:46:48:0611] | Info     | Manager.cpp              -L3044: [IsHFRProfileMode] Get Device3DCamerainfo Value:[16843008], nRet:[0].
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L3057: [IsHFRProfileMode] Get ImageMode, Value:[7], nRet:[0].
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L3086: [IsHFRProfileMode] this camera is HFR and imagemode is pointcloud mode.
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L3095: [InitAlgorithm] begin.
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L3495: [HfrReleaseOutputBuffer] begin.
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L3630: [HfrReleaseOutputBuffer] end.
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L2700: [LoadCalHfrConfig] begin.
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L2445: [LoadArithInfo] pstAbility->modu_enable value[32].
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L2449: [LoadArithInfo] pstAbility->max_img_size.width value[5000].
[2025-03-28 18:46:52:0456] | Info     | Manager.cpp              -L2450: [LoadArithInfo] pstAbility->max_img_size.height value[1456].
[2025-03-28 18:46:52:0459] | Info     | Manager.cpp              -L2467: [LoadArithInfo] pstAbility->max_scan_rows value[1050].
[2025-03-28 18:46:52:0461] | Info     | Manager.cpp              -L2481: [LoadArithInfo] pstAbility->max_x_range value[708614].
[2025-03-28 18:46:52:0461] | Info     | Manager.cpp              -L2485: [LoadArithInfo] Get LSLScaleUnit_Reg Value:[100], nRet:[0].
[2025-03-28 18:46:52:0469] | Info     | Manager.cpp              -L2500: [LoadArithInfo] pstAbility->min_x_scale value[22000].
[2025-03-28 18:46:52:0469] | Info     | Manager.cpp              -L2503: [LoadArithInfo] ability->max_system_calib_img_num value[400].
[2025-03-28 18:46:52:0471] | Info     | Manager.cpp              -L2512: [LoadArithInfo] Get LSL3DCoordType Value:[1], nRet:[0].
[2025-03-28 18:46:52:0471] | Info     | Manager.cpp              -L2713: [LoadCalHfrConfig] loadArithInfo success.
[2025-03-28 18:46:52:0471] | Info     | Manager.cpp              -L2719: [LoadCalHfrConfig] Get LSLScaleUnit_Reg Value:[100], nRet:[0].
[2025-03-28 18:46:52:0472] | Info     | Manager.cpp              -L2724: [LoadCalHfrConfig] Get LSLStepDistanceUnit_Reg Value:[100], nRet:[0].
[2025-03-28 18:46:52:0472] | Info     | Manager.cpp              -L2730: [LoadCalHfrConfig] Get Scandir Value:[1].
[2025-03-28 18:46:52:0472] | Info     | Manager.cpp              -L2737: [LoadCalHfrConfig] Get LSLRIXScale Value:[22000.000000], nRet:[0].
[2025-03-28 18:46:52:0473] | Info     | Manager.cpp              -L2744: [LoadCalHfrConfig] Get LSLRIYScale Value:[22000.000000], nRet:[0].
[2025-03-28 18:46:52:0475] | Info     | Manager.cpp              -L2751: [LoadCalHfrConfig] Get LSLRIZScale Value:[2000.000000], nRet:[0].
[2025-03-28 18:46:52:0477] | Info     | Manager.cpp              -L2758: [LoadCalHfrConfig] Get LSLRIXOffset Value:[-359948], nRet:[0].
[2025-03-28 18:46:52:0478] | Info     | Manager.cpp              -L2765: [LoadCalHfrConfig] Get LSLRIYOffset Value:[0], nRet:[0].
[2025-03-28 18:46:52:0481] | Info     | Manager.cpp              -L2772: [LoadCalHfrConfig] Get LSLRIZOffset Value:[-21659], nRet:[0].
[2025-03-28 18:46:52:0481] | Info     | Manager.cpp              -L2779: [LoadCalHfrConfig] Get LSLRIXRange Value:[708614], nRet:[0].
[2025-03-28 18:46:52:0482] | Info     | Manager.cpp              -L2786: [LoadCalHfrConfig] Get LSLStepDistance Value:[22000.000000], nRet:[0].
[2025-03-28 18:46:52:0482] | Info     | Manager.cpp              -L2794: [LoadCalHfrConfig] Get LSLRangeImgHeight Value:[1050], nRet:[0].
[2025-03-28 18:46:52:0484] | Info     | Manager.cpp              -L2817: [LoadCalHfrConfig] Get LSLRIOutImageType Value:[2], nRet:[0].
[2025-03-28 18:46:52:0485] | Info     | Manager.cpp              -L2828: [LoadCalHfrConfig] Get LSLXInterpNum Value:[0], nRet:[0].
[2025-03-28 18:46:52:0485] | Info     | Manager.cpp              -L2838: [LoadCalHfrConfig] Get LSLYInterpNum Value:[0], nRet:[0].
[2025-03-28 18:46:52:0486] | Info     | Manager.cpp              -L2848: [LoadCalHfrConfig] Get LSLExpandNum Value:[0], nRet:[0].
[2025-03-28 18:46:52:0486] | Info     | Manager.cpp              -L2858: [LoadCalHfrConfig] Get LSLExpandHoleThreshold Value:[20], nRet:[0].
[2025-03-28 18:46:52:0487] | Info     | Manager.cpp              -L2868: [LoadCalHfrConfig] Get LSLProfileAddEmptyPntnum Value:[6], nRet:[0].
[2025-03-28 18:46:52:0487] | Info     | Manager.cpp              -L2878: [LoadCalHfrConfig] Get LSLProfileAddRate Value:[156], nRet:[0].
[2025-03-28 18:46:52:0489] | Info     | Manager.cpp              -L2896: [LoadCalHfrConfig] Get BinningSelector Value:[65537], nRet:[0].
[2025-03-28 18:46:52:0491] | Info     | Manager.cpp              -L2903: [LoadCalHfrConfig] Get LSL3DCoordType Value:[1], nRet:[0].
[2025-03-28 18:46:52:0491] | Info     | Manager.cpp              -L2909: [LoadCalHfrConfig] Get in_profile_mode Value:[2].
[2025-03-28 18:46:52:0491] | Info     | Manager.cpp              -L2915: [LoadCalHfrConfig] Get RANGE_INVALID_HEIGHT Value:[0].
[2025-03-28 18:46:52:0492] | Info     | Manager.cpp              -L2930: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_X_ENABLE Value:[0].
[2025-03-28 18:46:52:0492] | Info     | Manager.cpp              -L2936: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_X_PRC_TIMES Value:[16].
[2025-03-28 18:46:52:0492] | Info     | Manager.cpp              -L2942: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_X_RCO_TIMES Value:[16].
[2025-03-28 18:46:52:0493] | Info     | Manager.cpp              -L2948: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_Y_ENABLE Value:[0].
[2025-03-28 18:46:52:0493] | Info     | Manager.cpp              -L2954: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_Y_PRC_TIMES Value:[16].
[2025-03-28 18:46:52:0493] | Info     | Manager.cpp              -L2960: [LoadCalHfrConfig] Get MVB3D_SENSOR_LSL_PARAM_RANGE_INVALID_DATA_Y_RCO_TIMES Value:[16].
[2025-03-28 18:46:52:0495] | Info     | Manager.cpp              -L2967: [LoadCalHfrConfig] Get ImageMode Value:[7], nRet:[0].
[2025-03-28 18:46:52:0496] | Info     | Manager.cpp              -L2988: [LoadCalHfrConfig] Get LSLProfileCoordXUnit Value:[20.000000], nRet:[0].
